Datum;Faelle;Faelle_sum;Todesfaelle;Todesfaelle_sum;Genesen;Genesen_sum
02.01;6;6;1;1;5;5
03.01;5;11;0;1;5;10
04.01;3;14;0;1;3;13
05.01;4;18;0;1;3;16
06.01;2;20;0;1;2;18
07.01;3;23;0;1;3;21
08.01;3;26;0;1;3;24
09.01;2;28;0;1;1;25
10.01;1;29;0;1;1;26
11.01;4;33;0;1;4;30
12.01;2;35;0;1;2;32
13.01;0;35;0;1;0;32
14.01;1;36;0;1;1;33
15.01;0;36;0;1;0;33
16.01;0;36;0;1;0;33
17.01;0;36;0;1;0;33
18.01;1;37;0;1;1;34
19.01;0;37;0;1;0;34
20.01;0;37;0;1;0;34
21.01;0;37;0;1;0;34
22.01;1;38;0;1;1;35
23.01;1;39;0;1;1;36
24.01;0;39;0;1;0;36
25.01;0;39;0;1;0;36
26.01;0;39;0;1;0;36
27.01;0;39;0;1;0;36
28.01;3;42;0;1;3;39
29.01;2;44;0;1;2;41
30.01;1;45;0;1;1;42
31.01;7;52;0;1;7;49
01.02;0;52;0;1;0;49
02.02;0;52;0;1;0;49
03.02;1;53;0;1;1;50
04.02;4;57;0;1;4;54
05.02;0;57;0;1;0;54
06.02;1;58;0;1;1;55
07.02;1;59;0;1;1;56
08.02;0;59;0;1;0;56
09.02;0;59;0;1;0;56
10.02;0;59;0;1;0;56
11.02;2;61;0;1;2;58
12.02;2;63;0;1;2;60
13.02;0;63;0;1;0;60
14.02;0;63;0;1;0;60
15.02;1;64;0;1;1;61
16.02;0;64;0;1;0;61
17.02;2;66;0;1;2;63
18.02;1;67;0;1;1;64
19.02;0;67;0;1;0;64
20.02;1;68;0;1;1;65
21.02;0;68;0;1;0;65
22.02;0;68;0;1;0;65
23.02;1;69;0;1;1;66
24.02;1;70;0;1;1;67
25.02;2;72;0;1;2;69
26.02;7;79;0;1;7;76
27.02;24;103;0;1;24;100
28.02;48;151;0;1;48;148
29.02;22;173;0;1;22;170
01.03;36;209;0;1;36;206
02.03;41;250;0;1;41;247
03.03;85;335;0;1;85;332
04.03;155;490;2;3;153;485
05.03;184;674;1;4;183;668
06.03;186;860;4;8;182;850
07.03;142;1002;4;12;138;988
08.03;102;1104;1;13;101;1089
09.03;347;1451;7;20;340;1429
10.03;601;2052;4;24;597;2026
11.03;756;2808;10;34;746;2772
12.03;991;3799;13;47;978;3750
13.03;1453;5252;16;63;1437;5187
14.03;1309;6561;20;83;1289;6476
15.03;978;7539;15;98;963;7439
16.03;2047;9586;36;134;2011;9450
17.03;3045;12631;44;178;3001;12451
18.03;3612;16243;64;242;3548;15999
19.03;4057;20300;65;307;3992;19991
20.03;4049;24349;96;403;3953;23944
21.03;3355;27704;95;498;3260;27204
22.03;2267;29971;78;576;2189;29393
23.03;3732;33703;133;709;3599;32992
24.03;4883;38586;166;875;4716;37708
25.03;5690;44276;216;1091;5474;43182
26.03;5914;50190;265;1356;5649;48831
27.03;5994;56184;267;1623;5726;54557
28.03;4730;60914;247;1870;4483;59040
29.03;3086;64000;165;2035;2921;61961
30.03;4128;68128;266;2301;3862;65823
31.03;6063;74191;375;2676;5688;71511
01.04;6263;80454;379;3055;5884;77395
02.04;6551;87005;414;3469;6137;83532
03.04;6196;93201;395;3864;5799;89331
04.04;4339;97540;245;4109;4094;93425
05.04;2553;100093;182;4291;2371;95796
06.04;3677;103770;292;4583;3385;99181
07.04;5196;108966;337;4920;4859;104040
08.04;5281;114247;338;5258;4942;108982
09.04;4916;119163;327;5585;4589;113571
10.04;3354;122517;207;5792;3147;116718
11.04;2894;125411;203;5995;2690;119408
12.04;1866;127277;168;6163;1698;121106
13.04;1597;128874;163;6326;1434;122540
14.04;2474;131348;218;6544;2255;124795
15.04;3330;134678;229;6773;3101;127896
16.04;3422;138100;189;6962;3233;131129
17.04;3054;141154;173;7135;2881;134010
18.04;2111;143265;122;7257;1989;135999
19.04;1380;144645;118;7375;1262;137261
20.04;1726;146371;146;7521;1580;138841
21.04;2188;148559;137;7658;2051;140892
22.04;2495;151054;127;7785;2368;143260
23.04;2084;153138;117;7902;1967;145227
24.04;1908;155046;83;7985;1823;147050
25.04;1274;156320;79;8064;1195;148245
26.04;706;157026;29;8093;677;148922
27.04;1117;158143;75;8168;1041;149963
28.04;1465;159608;82;8250;1383;151346
29.04;1437;161045;60;8310;1377;152723
30.04;1459;162504;68;8378;1391;154114
01.05;918;163422;46;8424;872;154986
02.05;622;164044;35;8459;587;155573
03.05;427;164471;16;8475;411;155984
04.05;725;165196;40;8515;684;156668
05.05;1093;166289;44;8559;1049;157717
06.05;1217;167506;40;8599;1177;158894
07.05;1197;168703;49;8648;1148;160042
08.05;981;169684;44;8692;937;160979
09.05;678;170362;23;8715;655;161634
10.05;341;170703;14;8729;327;161961
11.05;688;171391;24;8753;663;162624
12.05;853;172244;32;8785;821;163445
13.05;910;173154;27;8812;883;164328
14.05;806;173960;20;8832;786;165114
15.05;719;174679;31;8863;688;165802
16.05;462;175141;20;8883;442;166244
17.05;316;175457;8;8891;308;166552
18.05;547;176004;23;8914;524;167076
19.05;730;176734;27;8941;703;167779
20.05;833;177567;23;8964;810;168589
21.05;418;177985;7;8971;411;169000
22.05;527;178512;15;8986;512;169512
23.05;338;178850;11;8997;327;169839
24.05;225;179075;5;9002;220;170059
25.05;414;179489;13;9015;401;170460
26.05;617;180106;15;9030;602;171062
27.05;648;180754;11;9041;637;171699
28.05;531;181285;12;9053;519;172218
29.05;449;181734;8;9061;441;172659
30.05;374;182108;4;9065;370;173029
31.05;179;182287;3;9068;176;173205
01.06;137;182424;5;9073;132;173337
02.06;305;182729;8;9081;297;173634
03.06;498;183227;11;9092;487;174121
04.06;529;183756;7;9099;522;174643
05.06;440;184196;5;9104;435;175078
06.06;285;184481;5;9109;280;175358
07.06;167;184648;4;9113;163;175521
08.06;299;184947;3;9116;296;175817
09.06;428;185375;1;9117;427;176244
10.06;519;185894;10;9127;509;176753
11.06;278;186172;1;9128;277;177030
12.06;350;186522;10;9138;340;177370
13.06;299;186821;1;9139;298;177668
14.06;172;186993;6;9145;166;177834
15.06;260;187253;4;9149;256;178090
16.06;541;187794;10;9159;531;178621
17.06;985;188779;7;9166;978;179599
18.06;635;189414;3;9169;632;180231
19.06;933;190347;8;9177;925;181156
20.06;529;190876;4;9181;525;181681
21.06;258;191134;3;9184;255;181936
22.06;489;191623;1;9185;488;182424
23.06;546;192169;7;9192;539;182963
24.06;503;192672;2;9194;501;183464
25.06;573;193245;5;9199;567;184031
26.06;576;193821;6;9205;570;184601
27.06;332;194153;2;9207;330;184931
28.06;199;194352;0;9207;199;185130
29.06;420;194772;4;9211;416;185546
30.06;460;195232;1;9212;459;186005
01.07;484;195716;5;9217;479;186484
02.07;470;196186;4;9221;466;186950
03.07;426;196612;6;9227;420;187370
04.07;293;196905;2;9229;291;187661
05.07;143;197048;4;9233;139;187800
06.07;321;197369;6;9239;314;188114
07.07;392;197761;4;9243;388;188502
08.07;452;198213;6;9249;446;188948
09.07;428;198641;5;9254;423;189371
10.07;426;199067;3;9257;423;189794
11.07;278;199345;0;9257;278;190072
12.07;131;199476;1;9258;130;190202
13.07;329;199805;5;9263;324;190526
14.07;464;200269;2;9265;462;190988
15.07;537;200806;6;9271;531;191519
16.07;556;201362;7;9278;549;192068
17.07;523;201885;6;9284;517;192585
18.07;428;202313;0;9284;428;193013
19.07;187;202500;4;9288;183;193196
20.07;460;202960;4;9292;456;193652
21.07;520;203480;4;9296;516;194168
22.07;699;204179;9;9305;690;194858
23.07;699;204878;3;9308;696;195554
24.07;809;205687;10;9318;799;196353
25.07;543;206230;3;9321;540;196893
26.07;212;206442;0;9321;212;197105
27.07;529;206971;7;9328;521;197626
28.07;752;207723;4;9332;748;198374
29.07;906;208629;4;9336;902;199276
30.07;854;209483;5;9341;849;200125
31.07;921;210404;10;9351;911;201036
01.08;561;210965;1;9352;560;201596
02.08;301;211266;1;9353;300;201896
03.08;799;212065;8;9361;791;202687
04.08;945;213010;5;9366;940;203627
05.08;1116;214126;2;9368;1114;204741
06.08;1167;215293;6;9374;1161;205902
07.08;1006;216299;5;9379;1001;206903
08.08;709;217008;2;9381;707;207610
09.08;320;217328;2;9383;318;207928
10.08;1104;218432;2;9385;1102;209030
11.08;1193;219625;2;9387;1189;210219
12.08;1544;221169;10;9397;1534;211753
13.08;1492;222661;2;9399;1490;213243
14.08;1377;224038;5;9404;1371;214614
15.08;753;224791;4;9408;749;215363
16.08;492;225283;5;9413;487;215850
17.08;1554;226837;8;9421;1546;217396
18.08;1534;228371;9;9430;1525;218921
19.08;1753;230124;1;9431;1752;220673
20.08;1627;231751;7;9438;1620;222293
21.08;1656;233407;3;9441;1653;223946
22.08;915;234322;2;9443;913;224859
23.08;565;234887;0;9443;565;225424
24.08;1430;236317;5;9448;1425;226849
25.08;1483;237800;2;9450;1481;228330
26.08;1610;239410;3;9453;1607;229937
27.08;1546;240956;1;9454;1545;231482
28.08;1382;242338;4;9458;1378;232860
29.08;831;243169;2;9460;829;233689
30.08;537;243706;3;9463;534;234223
31.08;1187;244893;4;9467;1182;235405
01.09;1319;246212;3;9470;1316;236721
02.09;1410;247622;3;9473;1407;238128
03.09;1523;249145;7;9480;1515;239643
04.09;1496;250641;7;9487;1489;241132
05.09;1106;251747;8;9495;1098;242230
06.09;580;252327;4;9499;576;242806
07.09;1420;253747;5;9504;1415;244221
08.09;1375;255122;17;9521;1357;245578
09.09;1756;256878;9;9530;1747;247325
10.09;1590;258468;6;9536;1583;248908
